id,title,artist,album,quadrant,valence,energy,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,source
commons-64735237,Carefree,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.59,0.5,205140,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/f/f5/Carefree_%28ISRC_USUAN1400037%29.mp3,https://upload.wikimedia.org/wikipedia/commons/f/f5/Carefree_%28ISRC_USUAN1400037%29.mp3,https://commons.wikimedia.org/wiki/File:Carefree_(ISRC_USUAN1400037).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64736144,Local Forecast - Slower,Kevin MacLeod,Incompetech Instrumental Essentials,relaxed,0.59,0.4,199549,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/0/04/Local_Forecast_-_Slower_%28ISRC_USUAN1300011%29.mp3,https://upload.wikimedia.org/wikipedia/commons/0/04/Local_Forecast_-_Slower_%28ISRC_USUAN1300011%29.mp3,https://commons.wikimedia.org/wiki/File:Local_Forecast_-_Slower_(ISRC_USUAN1300011).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64736120,Hitman,Kevin MacLeod,Incompetech Instrumental Essentials,tense,0.39,0.5,200829,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/e/ea/Hitman_%28ISRC_USUAN1300013%29.mp3,https://upload.wikimedia.org/wikipedia/commons/e/ea/Hitman_%28ISRC_USUAN1300013%29.mp3,https://commons.wikimedia.org/wiki/File:Hitman_(ISRC_USUAN1300013).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-84678483,Stay The Course,Kevin MacLeod,Incompetech Instrumental Essentials,sad_low,0.39,0.4,272091,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/7/74/Kevin_MacLeod_-_Stay_The_Course_%28cc-by%29_%28filmmusic%29.mp3,https://upload.wikimedia.org/wikipedia/commons/7/74/Kevin_MacLeod_-_Stay_The_Course_%28cc-by%29_%28filmmusic%29.mp3,https://commons.wikimedia.org/wiki/File:Kevin_MacLeod_-_Stay_The_Course_(cc-by)_(filmmusic).mp3,https://creativecommons.org/licenses/by/4.0,wikimedia_commons
commons-77589727,Sneaky Snitch,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.5,136842,0.45,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kevin_MacLeod_~_Sneaky_Snitch.ogg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kevin_MacLeod_~_Sneaky_Snitch.ogg,https://commons.wikimedia.org/wiki/File:Kevin_MacLeod_~_Sneaky_Snitch.ogg,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64735185,Volatile Reaction,Kevin MacLeod,Incompetech Instrumental Essentials,relaxed,0.5,0.48,165355,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/8/8c/Volatile_Reaction_%28ISRC_USUAN1400039%29.mp3,https://upload.wikimedia.org/wikipedia/commons/8/8c/Volatile_Reaction_%28ISRC_USUAN1400039%29.mp3,https://commons.wikimedia.org/wiki/File:Volatile_Reaction_(ISRC_USUAN1400039).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64738799,Darkest Child var A,Kevin MacLeod,Incompetech Instrumental Essentials,tense,0.39,0.5,197381,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/1/10/Darkest_Child_var_A_%28ISRC_USUAN1100784%29.mp3,https://upload.wikimedia.org/wikipedia/commons/1/10/Darkest_Child_var_A_%28ISRC_USUAN1100784%29.mp3,https://commons.wikimedia.org/wiki/File:Darkest_Child_var_A_(ISRC_USUAN1100784).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-3,3 Ghosts I,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,231050,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/03_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/03_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64736135,Local Forecast - Elevator,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.59,0.5,189205,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/9/9f/Local_Forecast_-_Elevator_%28ISRC_USUAN1300012%29.mp3,https://upload.wikimedia.org/wikipedia/commons/9/9f/Local_Forecast_-_Elevator_%28ISRC_USUAN1300012%29.mp3,https://commons.wikimedia.org/wiki/File:Local_Forecast_-_Elevator_(ISRC_USUAN1300012).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64735695,Dream Culture,Kevin MacLeod,Incompetech Instrumental Essentials,relaxed,0.5,0.3,214361,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/1/1f/Dream_Culture_%28ISRC_USUAN1300046%29.mp3,https://upload.wikimedia.org/wikipedia/commons/1/1f/Dream_Culture_%28ISRC_USUAN1300046%29.mp3,https://commons.wikimedia.org/wiki/File:Dream_Culture_(ISRC_USUAN1300046).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
