id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-2vWBUC9djv6BtiGlmKiQaH,indie,Indie,YKWIM?,Yot Club,84,0.228,0.537,tense,2vWBUC9djv6BtiGlmKiQaH,,,https://www.youtube.com/results?search_query=Yot%20Club%20YKWIM%3F%20official%20audio
spotify-7H7NyZ3G075GqPx2evsfeb,edm,Edm,Chamber Of Reflection,Mac DeMarco,82,0.506,0.557,happy,7H7NyZ3G075GqPx2evsfeb,,,https://www.youtube.com/results?search_query=Mac%20DeMarco%20Chamber%20Of%20Reflection%20official%20audio
spotify-11iIikXxC6NP0Ma8vMD27x,garage,Garage,Alien Blues,Vundabar,82,0.433,0.757,tense,11iIikXxC6NP0Ma8vMD27x,,,https://www.youtube.com/results?search_query=Vundabar%20Alien%20Blues%20official%20audio
spotify-1BncfTJAWxrsxyT9culBrj,ambient,Ambient,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",79,0.036,0.449,sad_low,1BncfTJAWxrsxyT9culBrj,,,https://www.youtube.com/results?search_query=Ludovico%20Einaudi%2C%20Daniel%20Hope%2C%20I%20Virtuosi%20Italiani%20Experience%20official%20audio
spotify-4pTkDIlpFNoeWbahu8pVXW,electro,Electro,Shootout,"Izzamuzzic, Julien Marchal",78,0.553,0.578,happy,4pTkDIlpFNoeWbahu8pVXW,,,https://www.youtube.com/results?search_query=Izzamuzzic%2C%20Julien%20Marchal%20Shootout%20official%20audio
spotify-7svpAkwc6xaSxlbZ7V7JiS,emo,Emo,i was all over her,salvia palth,77,0.0601,0.353,sad_low,7svpAkwc6xaSxlbZ7V7JiS,,,https://www.youtube.com/results?search_query=salvia%20palth%20i%20was%20all%20over%20her%20official%20audio
spotify-3r44Otr6SVUja3SYsCuhVY,electro,Electro,Shootout (Sped Up),"Izzamuzzic, Julien Marchal",76,0.768,0.605,happy,3r44Otr6SVUja3SYsCuhVY,,,https://www.youtube.com/results?search_query=Izzamuzzic%2C%20Julien%20Marchal%20Shootout%20(Sped%20Up)%20official%20audio
spotify-7sIx70dGj3VBiHWr0KZXfD,indie-pop,Indie Pop,Blondie,Current Joys,76,0.866,0.626,happy,7sIx70dGj3VBiHWr0KZXfD,,,https://www.youtube.com/results?search_query=Current%20Joys%20Blondie%20official%20audio
spotify-1SHB1hp6267UK9bJQUxYvO,indie,Indie,Судно (Борис Рижий),Molchat Doma,75,0.467,0.75,tense,1SHB1hp6267UK9bJQUxYvO,,,https://www.youtube.com/results?search_query=Molchat%20Doma%20%D0%A1%D1%83%D0%B4%D0%BD%D0%BE%20(%D0%91%D0%BE%D1%80%D0%B8%D1%81%20%D0%A0%D0%B8%D0%B6%D0%B8%D0%B9)%20official%20audio
spotify-6wfb4nI2Vih263JqC8WSoW,turkish,Turkish,M.,Anıl Emre Daldal,75,0.444,0.366,sad_low,6wfb4nI2Vih263JqC8WSoW,,,https://www.youtube.com/results?search_query=An%C4%B1l%20Emre%20Daldal%20M.%20official%20audio
